Institution,Address,Country 
Blast Theory,"Unit 5, 20 Wellington Rd, Brighton and Hove, Brighton BN41 1DN, UK",UK
Blekinge Institute of Technology,"Valhallavägen 10, 371 79 Karlskrona, Sweden",Sweden
BMW Group Plant Leipzig,"BMW-Allee 1, 04349 Leipzig, Germany",Germany
Bocconi University,"Via Roberto Sarfatti, 25, 20136 Milano MI, Italy",Italy
Børneernæring og international ernæring,"Islands Brygge 67, 2300 København, Denmark",Denmark
Börse Stuttgart,"Börsenstraße 4, 70174 Stuttgart, Germany",Germany
Bosch Center for AI,"Robert-Bosch-Platz 1, 70839 Gerlingen, Germany",Germany
Brainbot Technologie AG,"Taunusstraße 61, 55120 Mainz, Germany",Germany
"Bremen Institute for Transmedial Textuality, Bremen University","Bibliothekstraße 1, 28359 Bremen, Germany",Germany
"Bremen, Research and Technology Group","Bibliothekstraße 1, 28359 Bremen, Germany",Germany
Brunel University London,"Kingston Ln, London, Uxbridge UB8 3PH, UK",UK
BTK – Art & Design Berlin,"Dessauer Str. 3-5, 10963 Berlin, Germany",Germany
CA Technologies,"New York, New York, USA",USA
CAD Limburg,"Gasthuisstraat 18, 3620 Lanaken, Belgium",Belgium
California College of the Arts,"145 Hooper St, San Francisco, CA 94107, USA",USA
California State University,"1250 Bellflower Blvd, Long Beach, CA 90840, USA",USA
Canada Energy Regulator,"517 10 Avenue SW, Calgary, Alberta, T2R 0A8, Canada ",Canada 
Canva,"Sydney, Australia",Australia
Cape Peninsula University of Technology,"Hanover St, District Six, Cape Town, 7925, South Africa",South Africa
Capgemini,"11 Rue de Tilsitt, 75017 Paris, France",France
Cardiff University,"Cardiff CF10 3AT, UK",UK
Carleton University,"1125 Colonel By Dr, Ottawa, ON K1S 5B6, Canada",Canada
Carlsberg Foundation,"H. C. Andersens Blvd. 35, 1553 København, Denmark",Denmark
Carnegie Mellon University,"5000 Forbes Ave, Pittsburgh, PA 15213, USA",USA
Catholic University of the Sacred Heart,"Largo Fra Agostino Gemelli, 1, 20123 Milano MI, Italy",Italy
CENTAI,"C.so Inghilterra, 10138 Torino TO, Italy",Italy
"Center for Crisis and Disaster Psychiatry, Mental Health Services of the Capital Region of Denmark","Digevej 110, 2300 København",Denmark
Central European University,"Quellenstraße 51, 1100 Wien, Austria",Austria
Centre for Social Innovation,"192 Spadina Ave., Toronto, ON M5T 2C2, Canada",Canada
CERSA/CNRS France,"3 Rue Michel Ange, 75016 Paris, France",France
Chalmers University of Technology,"Chalmersplatsen 4, 412 96 Göteborg, Sweden",Sweden
Charité – Universitätsmedizin Berlin,"Charitépl. 1, 10117 Berlin, Germany",Germany
Charles Darwin University,"Ellengowan Dr, Casuarina NT 0810, Australia",Australia
Charles University,"Opletalova 38, 110 00 Staré Město, Czechia",Czechia
Chattogram Medical University,"Dhaka - Chittagong Hwy, Salimpur, Bangladesh",Bangladesh
Chemnitz University of Technology,"Str. der Nationen 62, 09111 Chemnitz, Germany",Germany
China University of Mining and Technology,"X8XX+6F3, Wudaokou, Haidian District, China, 100083",China
Chinese Academy of Sciences,"52 Sanlihe Rd, Xicheng District, Beijing, China, 100045",China
"CIRAD, UMR TETIS,","500 Rue Jean François Breton, 34000 Montpellier, France",France
Cisco,"San Jose, California, USA",USA
CISPA Helmholz Center for Information Security,"Stuhlsatzenhaus 5, 66123 Saarbrücken, Germany",Germany
City University of New York,"New York, New York, USA",USA
"City, University of London","Northampton Square, London EC1V 0HB, UK",UK
Clausthal University of Technology,"Adolph-Roemer-Straße 2A, 38678 Clausthal-Zellerfeld, Germany",Germany
Clemson University,"105 Sikes Hall, Clemson, SC 29634, USA",USA
CNRS - Centre national de la recherche scientifique,"3 Rue Michel Ange, 75016 Paris, France",France
College of William & Mary,"200 Stadium Dr, Williamsburg, VA 23185, USA",USA
Cologne Game Lab,"Schanzenstraße 28, 51063 Köln, Germany",Germany
Cologne University of Applied Sciences,"Ubierring 48, 50678 Köln, Germany",Germany
Colorado School of Mines,"1500 Illinois St, Golden, CO 80401, USA",USA
Columbia University,"116th and Broadway, New York, NY 10027, USA",USA
Computer Science Laboratory of the École polytechnique,"Rte de Saclay, 91120 Palaiseau, France",France
Concordia University,"1455 Blvd. De Maisonneuve Ouest, Montreal, Quebec H3G 1M8, Canada",Canada
Configit,"Midtermolen 3, 2100 København",Denmark
Constructor University,"Campus Ring 1, 28759 Bremen, Germany",Germany
Copenhagen Business Academy,"Nansensgade 19, 1366 København K",Denmark
Copenhagen Business School,"Solbjerg Pl. 3, 2000 Frederiksberg",Denmark
Copenhagen Institute of Interaction Design,"Trekronergade 149A, 2500 Valby",Denmark
Copenhagen School of Design and Technology,"Guldbergsgade 29N, 2200 København, Denmark",Denmark
Copenhagen University Hospital,"Inge Lehmanns Vej 7, 2100 København, Denmark",Denmark
Cork Constraint Computation Centre,"College Rd, University College, Cork, Ireland",Ireland
Cornell University,"Ithaca, NY 14850, USA",USA
Coventry University,"Priory St, Coventry CV1 5FB, UK",UK
CQUniversity,"120 Spencer St, Melbourne VIC 3000, Australia",Australia
Create-Net,"Via alla Cascata, 56, 38123 Trento TN, Italy",Italy
CrystalDB,"18 Bartol St, San Francisco, CA 94133, USA",USA
Curtin University,"Kent St, Bentley WA 6102, Australia",Australia
CYBERTRONICA UG (HAFTUNGSBESCHRANKT) GMBH,"Meluner Str. 40, 70569 Stuttgart, Germany",Germany
Czech Technical University in Prague,"Jugoslávských partyzánů 1580, 160 00 Praha 6, Czechia",Czechia
Dalhousie University,"6299 South St, Halifax, NS B3H 4R2, Canada",Canada
Danish Center for Design Research,"Bryghusgade 8, 2. floor, 1473 København, Denmark",Denmark
Danish Institute for Study Abroad,"Vestergade 7, 1456 København",Denmark
Danish Pioneer Centre for AI,"Øster Voldgade 3, 1350 København",Denmark
Danish School of Media and Journalism,"Helsingforsgade 6A, D, 8200 Aarhus",Denmark
Danmarks Tekniske Museum,"Fabriksvej 25, 3000 Helsingør",Denmark
Dansk Blindesamfund,"Blekinge Blvd. 2, 2630 Taastrup",Denmark
Dansk Sprognævn,"Humletorvet 3, 1799 København, Denmark",Denmark
Danske Medier,"Rådhuspladsen 16, 4 sal, 1550 København, Denmark",Denmark
Danube University Krems,"Dr.-Karl-Dorrek-Straße 30, 3500 Krems an der Donau, Austria",Austria
Darmstadt University of Applied Sciences,"Schöfferstraße 3, 64295 Darmstadt, Germany",Germany
Darmstadt University of Technology,"Karolinenpl. 5, 64289 Darmstadt, Germany",Germany
Dartmouth College,"Hanover, NH 03755, USA",USA
Data & Society,"36 W 20th St 11th floor, New York, NY 10011, USA",USA
Data 61 - Commonwealth Scientific and Industrial Research Organisation,"Private Bag 10. Clayton South Vic 3169, Australia",Australia
Data to Decisions Cooperative Research Center (CRC),"7/221 London Cct, Canberra ACT 2601, Australia",Australia
DCR Solutions,"2151 Ware St, Abbotsford, BC V2S 3C4, Canada",Canada
De Montfort University,"Gateway House, Leicester LE1 9BH, UK",UK
Deakin University,"Geelong, Australia",Australia
Debitoor,"Vester Farimagsgade 19, 1606 København, Denmark",Denmark
Decisive Analytics Corporation,"Virginia, USA",USA
DeepMind,"London, UK",UK
Delft University of Technology,"Mekelweg 5, 2628 CD Delft, Netherlands",Netherlands
Deliotte,"Weidekampsgade 6, 2300 København, Denmark",Denmark
Deloitte,"Weidekampsgade 6, 2300 København, Denmark",Denmark
"Department of Anthropology, University of Amsterdam","1012 WP Amsterdam, Netherlands",Netherlands
"Department of Clinical Neurosciences, University Hospital, Geneva","Rue Gabrielle-Perret-Gentil 4, 1205 Genève, Switzerland",Switzerland
"Department of European Civilization Studies, Hellenic Open University","Evdoxou 5, Patra 263 31, Greece",Greece
Department of Informatics - Umeå University,"Mit-huset, Campustorget 5, 901 87 Umeå, Sweden",Sweden
"Department of Information Engineering and Computer Science, University of Trento","Via Sommarive, 9, 38123 Povo TN, Italy",Italy
"Department of Neuroscience, NTNU, Norway.","Høgskoleringen 1, 7034 Trondheim, Norway",Norway
"Department of Social Policy, Panteion University & Department of Educational Policy, University of the Peloponnese","Kalipatiras 183, Kalamata 241 00, Greece",Greece
DePaul University,"2400 N Sheffield Ave, Chicago, IL 60614, USA",USA
Design School Kolding,"Ågade 10, 6000 Kolding",Denmark
Det Centrale Handicapråd,"Stationsvej 10, 9460 Brovst",Denmark
Det Kongelige Bibliotek,"Søren Kierkegaards Pl. 1, 1221 Indre By, Denmark",Denmark
Det Nationale Forsknings- og Analysecenter for Velfærd,"Herluf Trolles Gade 11, 1052 København",Denmark
Det Unge Akademi,"H. C. Andersens Blvd. 35, 1553 København, Denmark",Denmark
Deutsches Zentrum für Hochschul- und Wissenschaftsforschung,"Lange Laube 12, 30159 Hannover, Germany",Germany
Digital Public Health,"Ørestads Blvd. 5, 2300 København, Denmark",Denmark
Digitaliseringsstyrelsen,"Landgreven 4, 1301 København",Denmark
DLI Market Intelligence,"Lersø Parkallé 101, 2100 København, Denmark",Denmark
Drexel University,"3141 Chestnut St, Philadelphia, PA 19104, USA",USA
Dublin City University,"Dublin City University, Collins Ave Ext, Whitehall, Dublin 9, Ireland",Ireland
Duke University,"Durham, NC 27708, USA",USA
Dundalk Institute of Technology,"Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, Co. Louth, A91 K584, Ireland",Ireland
Durham University,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE, UK",UK
East China University of Science and Technology,"China, Shanghai, Xuhui District, 梅陇路130号 邮政编码: 200231",China
Eberhard Karls University of Tübingen,"Geschwister-Scholl-Platz, 72074 Tübingen, Germany",Germany
École de technologie supérieure,"1100 Notre-Dame St W, Montreal, Quebec H3C 1K3, Canada",Canada
École normale supérieure de Rennes,"Campus de Ker lann, 11 Av. Robert Schuman, 35170 Bruz, France",France
École Normale Supérieure Paris-Saclay,"4 Av. des Sciences, 91190 Gif-sur-Yvette, France",France
Ecole Polytechnique de Montreal,"2500 Chem. de Polytechnique, Montréal, QC H3T 1J4, Canada",Canada
Ecole Polytechnique Fédérale de Lausanne,"Rte Cantonale, 1015 Lausanne, Switzerland",Switzerland
eda.c,"Av. Rey Juan Carlos I, 92, 28916 Leganés, Madrid, Spain",Spain
Edge Hill University,"St Helens Rd, Ormskirk L39 4QP, UK",UK
EDHEC Business School,"24 Av. Gustave Delory, 59100 Roubaix, France",France
Eindhoven University of Technology,"5612 AZ Eindhoven, Netherlands",Netherlands
EIVA,"Niels Bohrs Vej 17, 8660 Skanderborg",Denmark
Enabling Women of Kamand Valley,"Parashar Road, Tehsil Sadar, Near Kataula, Kamand, Himachal Pradesh 175005, India",India
Ensenada Center for Scientific Research and Higher Education,"Carr. Tijuana-Ensenada 3918, Zona Playitas, 22860 Ensenada, B.C., Mexico",Mexico
Entropy Studio,"C. de San Juan y San Pedro, 5, 7, Planta Baja, locales 2 y 3, Casco Antiguo, 50001 Zaragoza, Spain",Spain
Erasmus University Rotterdam,"Burgemeester Oudlaan 50, 3062 PA Rotterdam, Netherlands",Netherlands
Ericsson,"Stockholm, Sweden",Sweden
ESSEC Business School,"3 Av. Bernard Hirsch, 95000 Cergy, France",France
Estonian Academy of Arts,"Põhja pst 7, 10412 Tallinn, Estonia",Estonia
ETHOS Lab,"Rued Langgaards Vej 7, 2300 København, Denmark",Denmark
European Commission,"Rue de la Loi / Wetstraat 200, 1049 Brussels, Belgium",Belgium
European School of Management and Technology,"Schloßpl. 1, 10178 Berlin, Germany",Germany
European Union,"Rue de la Loi / Wetstraat 175, 1048 Brussels, Belgium",Belgium
Europeana Foundation,"Prins Willem-Alexanderhof 5, 2595 BE Den Haag, Netherlands",Netherlands
Executive Office of The President of the USA,"1600 Pennsylvania Avenue NW Washington, D.C. 20500, USA",USA
Exformatics,"Nyhavn 16, 1051 København",Denmark
Factmata,"Mindspace Aldgate, Whitechapel High St, London E1 7PT, UK",UK
"Faculty of Philosophy, University of Nis","Ćirila i Metodija 2, Niš, Serbia",Serbia
Federal Fluminense University,"Rua Miguel de Frias, 9 - Icaraí Niterói 24220-008 Rio de Janeiro, Brazil",Brazil
Federal University of Alagoas,"Maceió, State of Alagoas, Brazil",Brazil
Federal University of Amazonas,"Av. General Rodrigo Octavio Jordão Ramos, 1200 - Coroado I, Manaus - AM, 69067-005, Brazil",Brazil
Federal University of Para,"R. Augusto Corrêa, 01 - Guamá, Belém - PA, 66075-110, Brazil",Brazil
Federal University of Paraná,"R. XV de Novembro, 1299 - Centro, Curitiba - PR, 80060-000, Brazil",Brazil
Federal University of Pernambuco,"Av. Prof. Moraes Rego, 1235 - Cidade Universitária, Recife - PE, 50670-901, Brazil",Brazil
"Federal University of Rio de Janeiro, Rio de Janeiro, Brazil","R. Antônio Barros de Castro, 119 - Cidade Universitária, Rio de Janeiro - RJ, 21941-853, Brazil",Brazil
Federal University of Rio Grande do Sul,"Farroupilha, Porto Alegre - RS, 90010-150, Brazil",Brazil
Federal University of Santa Catarina,"R. Eng. Agronômico Andrei Cristian Ferreira, s/n - Trindade, Florianópolis - SC, 88040-900, Brazil",Brazil
Federal University of Technology - Paraná,"Av. Sete de Setembro, 3165 - Rebouças, Curitiba - PR, 80230-901, Brazil",Brazil
Finnish Society of Bioart,"Luotsikatu 13, 00160 Helsinki, Finland",Finland
Flensburg University of Applied Sciences,"Kanzleistraße 91-93, 24943 Flensburg, Germany",Germany
Florida Atlantic University,"777 Glades Rd, Boca Raton, FL 33431, USA",USA
Florida International University,"11200 SW 8th St, Miami, FL 33199, USA",USA
Florida State University,"222 S Copeland St, Tallahassee, FL 32306, USA",USA
FOM Hochschule für Oekonomie & Management,"Herkulesstraße 32, 45127, Essen, North Rhine-Westphalia, Germany",Germany
FOM University of Applied Sciences,"Leimkugelstraße 6, 45141 Essen, Germany",Germany
FONDATION DE L'INSTITUT DE RECHERCHE IDIAP,"Rue Marconi 19, 1920 Martigny, Switzerland",Switzerland
Fondazione Bruno Kessler,"Via Sommarive, 18, 38123 Povo TN, Italy",Italy
"Fondazione the Microsoft Research – University of Trento Centre for Computational and Systems Biology, Italy","Piazza Manifattura, 1 38068 Rovereto, Italy",Italy
Fontys University of Applied  Sciences,"Rachelsmolen 1, 5612 MA Eindhoven, Netherlands",Netherlands
Fordham University,"Bronx, NY 10458, USA",USA
Framingham State University,"100 State St, Framingham, MA 01701, USA",USA
Frankfurt University of Applied Sciences,"Nibelungenpl. 1, 60318 Frankfurt am Main, Germany",Germany
Fraunhofer FIT,"Schloss Birlinghoven, Konrad-Adenauer-Straße, 53757 Sankt Augustin, Germany",Germany
Fraunhofer Institute for Experimental Software Engineering,"Fraunhofer-Platz 1, 67663 Kaiserslautern, Germany",Germany
Fraunhofer Institute for Industrial Engineering,"Nobelstraße 12, 70569 Stuttgart, Germany",Germany
Fraunhofer Institute for Manufacturing Engineering and Automation IPA,"Nobelstraße 12, 70569 Stuttgart, Germany",Germany
Fraunhofer Institute for Mechatronic Design,"Zukunftsmeile 1, 33102 Paderborn, Germany",Germany
Fraunhofer Institute for Toxicology and Experimental Medicine ITEM,"Nikolai-Fuchs-Straße 1, 30625 Hannover, Germany",Germany
Fraunhofer-Gesellschaft,"Hansastraße 27c, 80686 Munich, Germany",Germany
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,"Winterbergstraße 28, 01277 Dresden, Germany",Germany
Frederiksberg kommune,"Smallegade 1, 2000 Frederiksberg, Denmark",Denmark
Free University of Berlin,"Kaiserswerther Str. 16-18, 14195 Berlin, Germany",Germany
Free University of Bozen-Bolzano,"Piazza Università, 1, 39100 Bolzano BZ, Italy",Italy
Friedrich Schiller University Jena,"Fürstengraben 1, 07743 Jena, Germany",Germany
Friedrich-Alexander-Universität Erlangen-Nürnberg,"Schloßplatz 4, 91054 Erlangen, Germany",Germany
Friendship,"House 7, Road 2A, Block L, Gulshan 1, Dhaka 1212, Bangladesh",Bangladesh
"Frog design Inc., New York","79 5th Ave, New York, NY 10003, USA",USA
Fudan University,"220 Handan Rd, Yangpu District, Shanghai, China, 200437",China
FX Pal,"Palo Alto, California, USA",USA
FX Palo Alto Laboratory,"Palo Alto, California, USA",USA
Game Innovation Lab,"370 Jay St, Brooklyn, NY 11201, USA",USA
George Mason University,"4400 University Dr, Fairfax, VA 22030, USA",USA
Georgetown University,"3700 O St NW, Washington, DC 20057, USA",USA
Georgia Institute of Technology,"Atlanta, GA 30332, USA",USA
Georgia State University,"Atlanta, GA 30302, USA",USA
German Aerospace Center,"Linder Höhe, 51147 Köln, Germany",Germany
German Cancer Research Center,"Deutsches Krebsforschungszentrum (DKFZ), Im Neuenheimer Feld 280, 69120 Heidelberg, Germany",Germany
German Research Center for Artificial Intelligence,"Trippstadter Str. 122, 67663 Kaiserslautern, Germany",Germany
GESIS – Leibniz Institute for the Social Sciences,"B6 4, 5, 68159 Mannheim, Germany",Germany
GEUS,"Øster Voldgade 10, 1350 København",Denmark
GGZ Momentum,"Ceresstraat 4, 4811 CC Breda, Netherlands",Netherlands
Goethe University Frankfurt,"Theodor-W.-Adorno-Platz 1, 60629 Frankfurt am Main, Germany",Germany
"Goldsmiths, University of London","8 Lewisham Way, London SE14 6NW, UK",UK
Gonzaga University,"502 E Boone Ave, Spokane, WA 99258, USA",USA
Google Brain,"1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",USA
Google DeepMind,"London, UK",UK
Google Inc.,"1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",USA
Government of Canada,"Parliament Hill, 111 Wellington Street, Ottawa, Ontario K1A 0A9, Canada",Canada
Griffith University,"170 Kessels Road, Nathan, Queensland 4111, Australia",Australia
GSI Technology,"Sunnyvale, California, USA",USA
Gwangju Institute of Science and Technology,"123 Cheomdangwagi-ro, Buk-gu, Gwangju, South Korea",South Korea
"Hanover University of Music, Drama, and Media","Neues Haus 1, 30175 Hannover, Germany",Germany
Harvard University,"Massachusetts Hall, Cambridge, MA 02138, USA",USA
Harz University of Applied Sciences,"Friedrichstraße 54-57, 38855 Wernigerode, Germany",Germany
Hasselt University,"Martelarenlaan 42, 3500 Hasselt, Belgium",Belgium
Hasso Plattner Institute,"Prof.-Dr.-Helmert-Straße 2-3, 14482 Potsdam, Germany",Germany
Hawassa University,"3F2W+CQH, Hawassa, Ethiopia",Ethiopia
Hebrew University of Jerusalem,Jerusalem,Israel
Heidelberg Institute for Theoretical Studies,"Schloß-Wolfsbrunnenweg 35, 69118 Heidelberg, Germany",Germany
Heidelberg University,"Grabengasse 1, 69117 Heidelberg, Germany",Germany
Helsinki Institute for Information Technology,"Computer Science Building, Konemiehentie 2, 02150 Espoo, Finland",Finland
Heriot-Watt University,"Edinburgh EH14 4AS, UK",UK
Higher National School of Computer Science,"Ecole Nationale Supérieure d'Informatique (ESI ex.INI), Alger, Oued Smar 16309, Algeria",Algeria
Hitotsubashi University,"2 Chome-1 Naka, Kunitachi, Tokyo 186-8601, Japan",Japan
Hochschule Mannheim,"Paul-Wittsack-Straße 10, 68163 Mannheim, Germany",Germany
Homi Bhabha National Institute,"2nd floor, BARC, Training School Complex, Anushakti Nagar, Mumbai, Maharashtra 400094, India",India
Honda Research Institute Europe GmbH,"Carl-Legien-Straße 30, 63073 Offenbach am Main, Germany",Germany
"Huawei Technologies Co., Ltd.","Shenzhen, China",China
Huazhong University of Science and Technology,"China, Hubei, Wuhan, Hongshan, 珞喻路1037号 邮政编码: 430074",China
Hugging Face,"9 rue des Colonnes, Paris, France",France
Humboldt University of Berlin,"Unter den Linden 6, 10117 Berlin, Germany",Germany
Huygens Institute for the History of the Netherlands,"Oudezijds Achterburgwal 185, 1012 DK Amsterdam, Netherlands",Netherlands
i2cat,"Carrer del Gran Capità, 2, 4, Les Corts, 08034 Barcelona, Spain",Spain
IBM,"Armonk, New York, USA",USA
IBM Brazil,"Av. República do Chile, 330 - Centro, Rio de Janeiro - RJ, 20031-170, Brazil",Brazil
IBM Research,"1101 Kitchawan Rd Yorktown Heights, NY 10598, USA",USA
IBM Research – Almaden,"650 Harry Rd, San Jose, CA 95120, USA",USA
IBM Research Australia,"Level 17, 259 George Street, Sydney NSW 2000, Australia",Australia
IESE Business School,"Avenida Pearson, 21 08034 Barcelona, Spain",Spain
Illinois Institute of Technology,"10 W 35th St, Chicago, IL 60616, USA",USA
Ilmenau University of Technology,"Ehrenbergstraße 29, 98693 Ilmenau, Germany",Germany
imec-MICT-Ghent University,"Miriam Makebaplein 1, 9000 Gent, Belgium",Belgium
Imperial College London,"Exhibition Rd, South Kensington, London SW7 2AZ, UK",UK
IMT Mines Albi,"All. des sciences, 81000 Albi, France",France
Independent Innovation Consultant Robin Gissing,"Greater Edinburgh Area, Scotland",Scotland
Independent Research Fund Denmark,"Asylgade 7, 5000 Odense C, Denmark",Denmark
Indian Institute of Management Bangalore,"Bannerghatta Rd, opp. to Apollo Hospitals, Sundar Ram Shetty Nagar, Bilekahalli, Bengaluru, Karnataka 560076, India",India
Indian Institute of Science Education and Research Pune,"Dr. Homi Bhabha Road, Pashan, Pune, Maharashtra 411008, India",India
Indian Institute of Technology Bombay,"Main Gate Rd, IIT Area, Powai, Mumbai, Maharashtra 400076, India",India
Indian Institute of Technology Delhi,"Hauz Khas, New Delhi-110016, India",India
Indian Institute of Technology Madras,"Sardar Patel Road, Adyar, Chennai, Tamil Nadu 600036, India",India
Indian Institute of Technology Mandi,"Parashar Road, Tehsil Sadar, Near Kataula, Kamand, Himachal Pradesh 175005, India",India
